Which age group describes you best?,Do you use Spotify?,What is your first top genre?,What is your second top genre?,What is your third top genre?,What is your fourth top genre?,What is your fifth top genre?,What is your first top artist?,What is your second top artist?,What is your third top artist?,What is your fourth top artist?,What is your fifth top artist?,What is your listening time in minutes?
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Reggaeton,Trap Queen,Canadian Pop,Groove Metal,The Weeknd,Doja Cat,Bad Bunny,Butcher Babies,Nicki Minaj,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Riot Grrrl,Indie Pop,Classic Rock,Metropopolis ,Dance Pop,Abba,Lana Del Rey ,Lorde,Blondie,Marina,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Chill Pop,Melodic Rap,Dance Pop,Pop Rap,Big Band,Big Time Rush,Juice Wrld,Michael Bublé,Post Malone,Lil Uzi Vert,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Alternative R&B,Dance Pop,Neo Soul,Pop Rap,Alternative Hip Hop ,Drake,Miguel,Sir,Jhene Aiko,"Tyler, The Creator ",94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Pop Rap,K-Pop,Modern Rock,Social Media Pop,Taylor Swift,Blackpink,Ariana Grande,Black Bear ,Nicki Minaj,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Motown,Classic Rock,Pop Rock,Indie Pop,Calvin Harris,Surfaces,Saint Motel,Quinn Xcii,Maroon 5,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Melodic Rap,Florida Rap,Pop Rap,Canadian Pop,Piano Relaxium,Relaxium,Kodak Black,Piano Lovely,John Mayer,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Emo,Pop Rap,Modern Rock,Electropop,Dance Gavin Dance,Blackbear,Taylor Swift,All Time Low,Nf,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop,Indie Folk,Modern Rock,Permanent Wave,Dance Pop,Coldplay,Taylor Swift,Mxmtoon,Phoebe Bridgers,Hozier,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Bro Soul,Contemporary Jazz,Jazz Saxophone, , ,Billie Eilish , , , , ,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Korean R&B,K-Pop,Dance Pop,Lo-Fi Beats,Chill R&B,Stray Kids,Dpr Live,Bts,Dean,Sza,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Modern Rock,Indie Pop,Dance Pop ,Classic Rock,Disco,Doja Cat,Post Malone ,Steely Dan,Tame Impala,Daft Punk,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop,Dance Pop,Bedroom Pop,Indie Rock,Dream Pop,Nicki Minaj,The Neighbourhood ,Beach House,Phoebe Bridgers,Rihanna,53471
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Lo-Fi Beats,Indie Pop,Pop Rap,Lo-Fi Chill,Indie Poptimism,Corpse,Megan Thee Stallion,Glass Animals,Mitski,Kendrick Lamar,33110
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Video Game Music,Pop Rap,Indie Pop,Indie Rock,Kanye West,Still Woozy,J Cole,T-Pain,Mariah Carey ,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,K-Pop,Dance Pop,Korean R&B,Chill R&B,Reggaeton,Bts,Ariana Grande,Agust D,Doja Cat,Joji,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Anime,Anime Rap,Dance Pop,Brass Band,Otacore,Vi Seconds,Lucky Chops,Shofu,Insaneintherain,Quinn Xcii,3150
I am 25 years old or older,Yes,,,,,,John Mayer,The Beatles ,Chaka Khan ,Ed Sheeran ,Elton John ,54897
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,J-Pop,K-Pop,Video Game Music,Future Bass ,Lo-Fi,Bts,Persona 5 Original Sound Track,Nobuo Uematsu,Eve,Yoasobi,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Modern Alternative Rock,Indie Poptimism ,Modern Rock,Electropop,Grandson,Nothing But Thieves,Glass Animals,Taylor Swift,Lil Nas X,103227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,J-Pop,Classic Rock,Indie Pop,K-Pop,Dance Pop,I Dont Know How But They Found Me,Tally Hall,"Tyler, The Creator",Mother Mother,Teddy Hyde,34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Classic Rock,Soul,Indie Rock,Alternative Hip Hop,The Beatles ,Katy Perry ,The Strokes,Bo Burnham,The Lemon Twigs,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop,Dance Pop,Indie Folk,Neosoul,Alternative Rock ,Kaleo ,Taylor Swift ,Day Suleiman,Bon Iver ,Lily Moore ,78005
