Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,The Weeknd,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Reggaeton,Doja Cat,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Trap Queen,Bad Bunny,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Canadian Pop,Butcher Babies,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Groove Metal,Nicki Minaj,22844
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Riot Grrrl,Abba,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Lana Del Rey ,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Classic Rock,Lorde,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Metropopolis ,Blondie,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Dance Pop,Marina,38135
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Chill Pop,Big Time Rush,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Melodic Rap,Juice Wrld,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Dance Pop,Michael Bublé,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rap,Post Malone,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Big Band,Lil Uzi Vert,16930
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Alternative R&B,Drake,94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Miguel,94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Neo Soul,Sir,94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rap,Jhene Aiko,94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative Hip Hop ,"Tyler, The Creator ",94917
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Pop Rap,Blackpink,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,K-Pop,Ariana Grande,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Modern Rock,Black Bear ,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Social Media Pop,Nicki Minaj,20913
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Calvin Harris,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Motown,Surfaces,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Classic Rock,Saint Motel,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rock,Quinn Xcii,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Indie Pop,Maroon 5,12151
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Piano Relaxium,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Melodic Rap,Relaxium,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Florida Rap,Kodak Black,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rap,Piano Lovely,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Canadian Pop,John Mayer,61942
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Dance Gavin Dance,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Emo,Blackbear,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rap,Taylor Swift,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Modern Rock,All Time Low,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Electropop,Nf,42546
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop,Coldplay,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Folk,Taylor Swift,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Modern Rock,Mxmtoon,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Permanent Wave,Phoebe Bridgers,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Dance Pop,Hozier,8170
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Bro Soul,Billie Eilish ,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Contemporary Jazz,,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Jazz Saxophone,,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4, ,,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5, ,,186
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Korean R&B,Stray Kids,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,K-Pop,Dpr Live,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Dance Pop,Bts,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Lo-Fi Beats,Dean,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Chill R&B,Sza,33568
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Modern Rock,Doja Cat,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Post Malone ,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Dance Pop ,Steely Dan,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Classic Rock,Tame Impala,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Disco,Daft Punk,49907
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop,Nicki Minaj,53471
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,The Neighbourhood ,53471
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Bedroom Pop,Beach House,53471
